"support","attendance","denomination","friends","age","female"
0,4,"Other",1,56,0
1,0,"Other",0,34,0
0,0,"Other",0,75,1
0,4,"Other",1,62,1
0,4,"Other",0,82,1
1,2,"Catholic",0,53,1
0,0,"Other",0,82,0
1,0,"Other",1,42,0
0,2,"Other",0,52,1
0,4,"Other",1,68,1
1,1,"Catholic",0,35,0
0,2,"Other",1,35,0
0,4,"Other",1,37,1
0,0,"Other",0,20,0
0,2,"Catholic",1,59,1
0,2,"Other",1,53,1
1,4,"Catholic",1,40,1
0,4,"Other",0,41,0
0,0,"Other",0,40,1
0,4,"Other",1,45,1
0,3,"Other",1,20,1
1,1,"Other",0,37,0
1,4,"Protestant",0,88,1
1,3,"Protestant",0,19,0
0,4,"Other",0,91,0
0,1,"Other",0,64,0
0,4,"Other",0,54,1
0,2,"Other",1,48,1
0,3,"Protestant",1,65,0
0,4,"Other",1,63,1
1,4,"Other",0,86,0
0,4,"Other",1,51,0
1,0,"Other",0,55,1
0,2,"Protestant",0,54,1
0,4,"Other",0,26,1
1,1,"Other",0,85,1
0,4,"Protestant",1,37,0
0,4,"Protestant",1,83,1
0,1,"Protestant",0,56,0
0,0,"Protestant",0,61,1
1,0,"Other",0,82,1
0,0,"Other",0,40,1
0,0,"Other",0,40,0
0,4,"Protestant",0,69,1
1,4,"Catholic",1,24,1
1,4,"Other",0,23,1
0,2,"Catholic",0,69,1
0,1,"Other",0,32,1
0,2,"Other",1,49,0
1,0,"Other",1,48,0
0,1,"Other",0,25,1
0,0,"Other",0,87,0
1,1,"Other",1,39,1
1,0,"Catholic",1,26,0
1,3,"Other",1,27,0
0,4,"Other",0,55,1
0,2,"Other",1,50,0
1,1,"Protestant",1,47,0
1,2,"Catholic",0,34,1
1,3,"Catholic",1,51,0
0,3,"Protestant",0,45,0
1,4,"Catholic",1,33,1
0,1,"Protestant",1,39,0
0,0,"Protestant",1,63,0
1,0,"Protestant",0,37,1
1,3,"Protestant",1,52,0
0,4,"Catholic",0,80,1
0,3,"Catholic",0,74,1
0,3,"Other",1,40,1
0,2,"Catholic",1,44,1
0,1,"Protestant",1,31,1
0,4,"Catholic",0,93,0
0,4,"Protestant",0,58,1
0,3,"Catholic",0,48,0
1,1,"Catholic",1,64,1
0,4,"Protestant",1,91,1
0,1,"Protestant",1,31,0
0,4,"Protestant",0,91,1
0,0,"Protestant",0,54,1
0,3,"Protestant",1,36,0
0,1,"Other",0,37,0
0,4,"Other",0,20,1
0,4,"Protestant",1,54,0
1,0,"Other",1,30,0
0,4,"Protestant",0,82,1
0,4,"Protestant",1,59,0
0,2,"Other",0,31,0
0,3,"Other",0,60,1
0,3,"Protestant",1,45,0
1,2,"Other",1,46,0
0,2,"Other",1,21,1
0,4,"Other",1,30,1
0,4,"Other",1,39,1
0,2,"Other",1,42,1
0,4,"Protestant",0,61,1
